marque,annee,ram,disque,prix_cfa
Autre,N/C,6 Go,512 Go,0
HP,N/C,256 Go,8 Go,0
HP,N/C,32 Go,4 Go,0
Autre,N/C,256 Go,16 Go,140000
Autre,N/C,256 Go,8 Go,90000
Autre,N/C,5256 Go,16 Go,150000
HP,N/C,512 Go,16 Go,0
Autre,N/C,32 Go,N/C,300000
Autre,N/C,16 Go,512 Go,200000
Autre,N/C,3 Go,16 Go,0
Autre,N/C,N/C,N/C,450000
HP,N/C,445 Go,N/C,185000
Autre,N/C,N/C,N/C,480000
Autre,N/C,256 Go,N/C,840000
Autre,N/C,N/C,N/C,120000
Autre,N/C,N/C,N/C,220000
Autre,N/C,N/C,N/C,130000
HP,N/C,N/C,N/C,70000
Autre,N/C,N/C,N/C,200000
HP,N/C,N/C,N/C,125000
Apple,2019,N/C,N/C,290000
Autre,N/C,14 Go,N/C,350000
HP,N/C,445 Go,N/C,190000
Apple,2021,N/C,N/C,575000
HP,N/C,840 Go,N/C,204999
Autre,N/C,14 Go,N/C,235000
HP,N/C,N/C,N/C,140000
Dell,N/C,N/C,N/C,450000
HP,N/C,445 Go,N/C,200000
Autre,N/C,14 Go,N/C,360000
HP,N/C,N/C,N/C,150000
Autre,N/C,N/C,N/C,200000
Autre,N/C,N/C,N/C,190000
Autre,N/C,N/C,N/C,220000
Autre,N/C,N/C,N/C,140000
Autre,N/C,N/C,N/C,100000
Dell,N/C,8 Go,256 Go,270000
HP,N/C,N/C,N/C,260000
Autre,N/C,N/C,N/C,160000
Autre,N/C,N/C,N/C,550000
HP,N/C,840 Go,N/C,195000
HP,N/C,N/C,N/C,65000
HP,N/C,8 Go,500 Go,150000
Apple,N/C,N/C,N/C,1150000
Apple,N/C,N/C,N/C,210000
HP,N/C,N/C,N/C,85000
HP,N/C,650 Go,N/C,165000
Autre,N/C,N/C,N/C,150000
Autre,N/C,N/C,N/C,235000
HP,N/C,N/C,N/C,175000
HP,N/C,N/C,N/C,375000
HP,N/C,800 Go,N/C,375000
HP,N/C,N/C,N/C,260000
Dell,N/C,N/C,N/C,110000
Autre,N/C,N/C,N/C,340000
Autre,N/C,N/C,N/C,580000
Autre,N/C,N/C,N/C,380000
HP,N/C,N/C,N/C,430000
Apple,2019,N/C,N/C,280000
Autre,N/C,N/C,N/C,290000
Dell,N/C,N/C,N/C,435000
Autre,N/C,N/C,N/C,85000
HP,N/C,N/C,N/C,180000
Autre,N/C,N/C,N/C,155000
Apple,2020,N/C,N/C,260000
HP,N/C,830 Go,16 Go,225000
Dell,N/C,16 Go,N/C,420000
HP,N/C,8 Go,N/C,220000
Dell,N/C,8 Go,N/C,270000
Autre,N/C,15 Go,8 Go,300000
Autre,N/C,8 Go,N/C,210000
HP,N/C,450 Go,256 Go,270000
Dell,N/C,32 Go,N/C,850000
HP,N/C,14 Go,16 Go,350000
Autre,N/C,16 Go,N/C,350000
Autre,N/C,16 Go,N/C,950000
Autre,2025,N/C,N/C,1450000
Autre,N/C,N/C,N/C,750000
Autre,N/C,66 Go,N/C,540000
Dell,N/C,N/C,N/C,85000
Autre,N/C,N/C,N/C,70000
HP,N/C,840 Go,8 Go,175000
HP,N/C,830 Go,8 Go,125000
HP,N/C,8 Go,N/C,170000
HP,N/C,8 Go,N/C,80000
HP,N/C,N/C,N/C,265000
HP,N/C,1030 Go,16 Go,200000
HP,N/C,840 Go,8 Go,130000
HP,N/C,830 Go,N/C,200000
Autre,N/C,N/C,N/C,90000
Apple,N/C,N/C,N/C,140000
Dell,N/C,N/C,N/C,125000
HP,N/C,830 Go,N/C,235000
HP,N/C,840 Go,N/C,135000
Dell,N/C,N/C,N/C,200000
Autre,N/C,N/C,N/C,80000
Dell,N/C,N/C,N/C,215000
HP,N/C,435 Go,N/C,319000
Autre,N/C,N/C,N/C,70000
Apple,N/C,512 Go,N/C,1350000
Autre,N/C,N/C,N/C,65000
Autre,N/C,N/C,N/C,750000
Autre,N/C,N/C,N/C,165000
Dell,N/C,4 Go,N/C,200000
Dell,N/C,5550 Go,N/C,415000
Autre,N/C,65 Go,N/C,415000
Autre,N/C,8 Go,N/C,825000
Apple,2025,16 Go,N/C,750000
Apple,2025,16 Go,N/C,1250000
Apple,2021,32 Go,N/C,950000
Dell,N/C,N/C,N/C,169900
Dell,N/C,N/C,N/C,89900
HP,N/C,840 Go,N/C,159900
Autre,N/C,8 Go,N/C,730000
